direction,v1,v2,v3,v4,v5,v6,v7,v8,rater_model,topic_id,sample_id,source,error,pmid
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,29.0,ai,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,23.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,10.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,4.0,ai,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,7.0,ai,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,13.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,16.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,19.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,25.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,28.0,ai,,
,,,,,,,,,deepseek/deepseek-chat-v3.1,T12,1.0,ai,Extra data: line 1 column 5 (char 4),
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,22.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,4.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,7.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,10.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,13.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,16.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,19.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,22.0,ai,,
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,25.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,28.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,7.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,3.0,ai,,
,,,,,,,,,deepseek/deepseek-chat-v3.1,T03,13.0,ai,Expecting value: line 1 column 1 (char 0),
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,27.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,22.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,18.0,ai,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,1.0,ai,,
REFUTES,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,6.0,ai,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,10.0,ai,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,24.0,ai,,
REFUTES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T05,15.0,ai,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,19.0,ai,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,28.0,ai,,
SUPPORTS,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,,human,,41497081.0
SUPPORTS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,,human,,41612523.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T01,,human,,41892413.0
NEUTRAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T01,,human,,41743374.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,,human,,41834846.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,,human,,40931979.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T01,,human,,41953220.0
SUPPORTS,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T01,,human,,41039263.0
REFUTES,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,,human,,41675330.0
SUPPORTS,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,,human,,41798849.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T02,,human,,41669146.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T02,,human,,41683321.0
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,,human,,41572980.0
SUPPORTS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T02,,human,,41897801.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,,human,,41615824.0
,,,,,,,,,deepseek/deepseek-chat-v3.1,T02,,human,Extra data: line 1 column 2 (char 1),41868826.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T02,,human,,41155474.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T02,,human,,41209105.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T02,,human,,41994836.0
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,,human,,41651011.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T03,,human,,40418260.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,,human,,41523650.0
SUPPORTS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T03,,human,,41305640.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,,human,,41598699.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,,human,,41939196.0
SUPPORTS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T03,,human,,41598300.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,,human,,41599777.0
,,,,,,,,,deepseek/deepseek-chat-v3.1,T03,,human,Expecting value: line 1 column 85 (char 84),41481294.0
SUPPORTS,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T03,,human,,41141173.0
NEUTRAL,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,,human,,41599894.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,,human,,41476304.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T04,,human,,41800099.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,,human,,41523478.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T04,,human,,41867423.0
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,,human,,41812583.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T04,,human,,41899085.0
NEUTRAL,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,,human,,41341951.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T04,,human,,41859307.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,,human,,40352917.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,,human,,39716171.0
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,,human,,42023089.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,,human,,41258537.0
SUPPORTS,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T05,,human,,41970395.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,deepseek/deepseek-chat-v3.1,T05,,human,,41372867.0
SUPPORTS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T05,,human,,41976137.0
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,,human,,41341937.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,,human,,41261885.0
REFUTES,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,,human,,41472017.0
SUPPORTS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T05,,human,,41897680.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,,human,,41861220.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,,human,,41540080.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,,human,,41970395.0
NEUTRAL,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,,human,,41493606.0
NEUTRAL,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,,human,,41281107.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T06,,human,,40581336.0
SUPPORTS,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,,human,,41676096.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,,human,,41938046.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T06,,human,,41508047.0
NEUTRAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T06,,human,,41817122.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,,human,,41374345.0
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T07,,human,,41413347.0
SUPPORTS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T07,,human,,41913879.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T07,,human,,41598754.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T07,,human,,41853398.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T07,,human,,40949080.0
SUPPORTS,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T07,,human,,41531641.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T07,,human,,41009932.0
SUPPORTS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T07,,human,,41960508.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T07,,human,,41497048.0
NEUTRAL,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T07,,human,,41202087.0
NEUTRAL,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T08,,human,,41640922.0
NEUTRAL,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T08,,human,,41269014.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T08,,human,,41410976.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T08,,human,,40944089.0
REFUTES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T08,,human,,40867964.0
NEUTRAL,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T08,,human,,41019691.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T08,,human,,41161124.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T08,,human,,41011458.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T08,,human,,41040762.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T08,,human,,38581643.0
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T09,,human,,41702669.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T09,,human,,41961845.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T09,,human,,41809175.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T09,,human,,41958582.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T09,,human,,42005186.0
SUPPORTS,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T09,,human,,41815663.0
REFUTES,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T09,,human,,42006957.0
,,,,,,,,,deepseek/deepseek-chat-v3.1,T09,,human,Expecting value: line 1 column 1 (char 0),41517558.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T09,,human,,41049599.0
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T09,,human,,41392499.0
NEUTRAL,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,,human,,41764103.0
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,,human,,41307300.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,,human,,41153590.0
SUPPORTS,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,,human,,40721253.0
,,,,,,,,,deepseek/deepseek-chat-v3.1,T10,,human,Expecting value: line 1 column 41 (char 40),41850731.0
,,,,,,,,,deepseek/deepseek-chat-v3.1,T10,,human,Extra data: line 1 column 2 (char 1),41097214.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,,human,,40481343.0
NEUTRAL,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,,human,,40728105.0
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,,human,,40426770.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T10,,human,,41497081.0
SUPPORTS,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T11,,human,,41847128.0
SUPPORTS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T11,,human,,39457010.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T11,,human,,39935563.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T11,,human,,41807028.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T11,,human,,41384051.0
SUUTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T11,,human,,40414808.0
SUPPORTS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T11,,human,,40789277.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T11,,human,,41034950.0
SUPPORTS,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T11,,human,,36284810.0
SUPPORTS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T11,,human,,39444143.0
NEUTRAL,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,,human,,41674761.0
NEUTRAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T12,,human,,41626685.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T12,,human,,41835696.0
NEUTRAL,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,,human,,41932695.0
NEUTRAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T12,,human,,41363211.0
NEUTRAL,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,,human,,41457761.0
NEUTRAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T12,,human,,40810583.0
SUPPORTS,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,,human,,41586743.0
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T12,,human,,41140447.0
NEUTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deepseek/deepseek-chat-v3.1,T12,,human,,40960366.0
